Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2022-01-28 13:14:06.861 +0530,"Success",0:00:00,0,0,0,"20220128_131406.861/LogFile.txt","","",1
2022-01-28 13:16:37.265 +0530,"Success",0:00:00,0,0,0,"20220128_131637.265/LogFile.txt","","",1
2022-01-28 13:16:59.525 +0530,"Success",0:00:00,0,0,0,"20220128_131659.525/LogFile.txt","","",1
2022-01-28 13:17:17.541 +0530,"Success",0:00:00,0,0,0,"20220128_131717.541/LogFile.txt","","",1
2022-01-28 17:44:07.628 +0530,"Aborted",0:02:01,1,0,1,"20220128_174407.628/LogFile.txt","","",0
2022-01-28 17:48:50.729 +0530,"Aborted",0:01:22,1,0,1,"20220128_174850.729/LogFile.txt","","",0
2022-01-28 17:53:23.338 +0530,"Aborted",0:01:24,1,0,0,"20220128_175323.338/LogFile.txt","","",0
2022-01-28 17:54:57.185 +0530,"Aborted",0:01:12,1,0,1,"20220128_175457.185/LogFile.txt","","",0
2022-01-28 17:56:52.203 +0530,"Failure",0:02:16,1,0,1,"20220128_175652.203/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""(TEXT:""Default"")"" within 60.00 seconds. Text not found.  Restricted Search Rectangle ((960,0),(1920,540))\n",0
2022-01-28 18:00:23.136 +0530,"Aborted",0:02:03,1,0,0,"20220128_180023.136/LogFile.txt","","",0
2022-01-28 18:07:25.486 +0530,"Aborted",0:03:00,1,0,0,"20220128_180725.486/LogFile.txt","","",0
2022-01-28 18:11:20.752 +0530,"Failure",0:01:03,1,0,1,"20220128_181120.752/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""Shop"" within 60.00 seconds  Restricted Search Rectangle ((0,0),(960,540))\n",0
2022-01-28 18:12:30.598 +0530,"Failure",0:02:00,1,0,1,"20220128_181230.598/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""(TEXT:""Default"")"" within 60.00 seconds. Text not found.  Restricted Search Rectangle ((960,0),(1920,540))\n",0
2022-01-28 18:15:33.796 +0530,"Aborted",0:02:01,1,0,1,"20220128_181533.796/LogFile.txt","","",0
2022-01-28 18:18:01.886 +0530,"Aborted",0:01:56,1,0,1,"20220128_181801.886/LogFile.txt","","",0
2022-01-28 18:21:41.106 +0530,"Aborted",0:03:08,1,0,1,"20220128_182141.106/LogFile.txt","","",0
2022-01-28 18:28:27.307 +0530,"Aborted",0:01:48,1,0,0,"20220128_182827.307/LogFile.txt","","",0
2022-01-28 18:30:58.081 +0530,"Aborted",0:02:22,1,0,1,"20220128_183058.081/LogFile.txt","","",0
2022-01-28 18:34:40.008 +0530,"Failure",0:01:26,1,0,1,"20220128_183440.008/LogFile.txt","","File Not Found -- imagefound Error - Could Not Open Image: $",0
2022-01-28 18:36:51.173 +0530,"Aborted",0:01:49,1,0,1,"20220128_183651.173/LogFile.txt","","",0
2022-01-28 18:41:32.242 +0530,"Aborted",0:01:10,1,0,1,"20220128_184132.242/LogFile.txt","","",0
2022-01-28 18:43:27.840 +0530,"Aborted",0:02:24,1,0,1,"20220128_184327.840/LogFile.txt","","",0
2022-01-28 18:48:17.476 +0530,"Failure",0:02:15,1,0,1,"20220128_184817.476/LogFile.txt","","Image Not Found -- imagefound Error - Image Property List did not contain ""ImageName"" property  Restricted Search Rectangle ((0,0),(1920,540))\n",0
2022-01-28 18:51:40.965 +0530,"Failure",0:01:57,1,0,1,"20220128_185140.965/LogFile.txt","","Image Not Found -- waitfor Error - Image Property List did not contain ""ImageName"" property",0
2022-01-28 18:55:26.498 +0530,"Aborted",0:02:01,1,0,0,"20220128_185526.498/LogFile.txt","","",0
2022-01-28 18:58:53.827 +0530,"Aborted",0:02:33,1,0,1,"20220128_185853.827/LogFile.txt","","",0
2022-01-28 19:02:26.290 +0530,"Aborted",0:03:21,1,0,1,"20220128_190226.290/LogFile.txt","","",0
2022-01-28 19:06:35.277 +0530,"Aborted",0:04:45,1,0,1,"20220128_190635.277/LogFile.txt","","",0
2022-01-28 19:13:52.329 +0530,"Aborted",0:03:17,1,0,1,"20220128_191352.329/LogFile.txt","","",0
2022-01-28 19:17:32.787 +0530,"Aborted",0:02:55,1,0,1,"20220128_191732.787/LogFile.txt","","",0
2022-01-28 19:22:41.904 +0530,"Aborted",0:00:06,1,0,0,"20220128_192241.904/LogFile.txt","","",0
2022-01-28 19:23:10.433 +0530,"Success",0:05:22,0,0,0,"20220128_192310.433/LogFile.txt","","",1
2022-01-28 21:02:28.292 +0530,"Failure",0:00:00,1,0,1,"20220128_210228.292/LogFile.txt","","No Remote Connection -- screenpart Error - Remote Connection Unavailable",0
2022-01-28 21:03:56.857 +0530,"Failure",0:00:00,1,0,1,"20220128_210356.857/LogFile.txt","","Error Running Script Command -- click Error - Image Property List did not contain ""ImageName"" property",0
2022-01-28 21:04:55.917 +0530,"Failure",0:00:00,1,0,1,"20220128_210455.917/LogFile.txt","","Error Running Script Command -- click Error - Image Property List did not contain ""ImageName"" property",0
2022-01-28 21:06:50.920 +0530,"Failure",0:00:00,1,0,1,"20220128_210650.920/LogFile.txt","","Error Running Script Command -- click Error - Image Property List did not contain ""ImageName"" property",0
2022-01-28 21:09:42.786 +0530,"Failure",0:00:00,1,0,1,"20220128_210942.786/LogFile.txt","","Error Running Script Command -- click Error - Image Property List did not contain ""ImageName"" property",0
